,맥주
0,Kloud Original Gravity
1,Kloud Fitz Super Clear
2,Asahi Super Dry
3,Tsingtao
4,Heineken
5,Kirin Ichiban
6,Sapporo Premium Beer
7,Stella Artois
8,Guinness Draught
9,Kronenbourg 1664 Blanc
10,Pilsner Urquell
11,San Miguel
12,OB Premier Pilsner
13,Cass Fresh
14,Hite D (Dry Finish)
15,Hite Prime Max
16,Hite Extra Cold
17,Victoria Bitter
18,Bintang Pilsener
19,Krombacher Weizen
20,Miller Genuine Draft (MGD)
21,Tiger Radler Lemon
22,Suntory The Premium Malt's
23,Reeper B. Exotisches IPA
24,Tiger Beer
25,Tsingtao Wheat Beer
26,Erdinger Weissbier
27,Carlsberg Pilsner
28,Budweiser
29,Hoegaarden
30,Sapporo Yebisu
31,Paulaner Hefe-Weissbier
32,Desperados
33,Peroni Nastro Azzurro
34,Edelweiss Weissbier Snowfresh
35,Heineken Dark Lager
36,Kozel Černý (Dark) 10°
37,Guinness Original 4.2%
38,Jeju Wit Ale
39,Stephans Bräu Premium Pilsener
40,Stephans Bräu Premium Lager
41,Stephans Bräu Hefe-Weizen Naturtrüb
42,Eichbaum Apostel Bräu
43,Egger Märzenbier
44,Holsten Premium Bier
45,Franziskaner Hefe-Weissbier
46,Egger Grapefruit Radler
47,Bavaria Pilsener
48,Bavaria 8.6 (Original)
49,Lapin Kulta IV A
50,Grolsch Premium Lager
51,Gambrinus Originál 10° (Desítka)
52,Castlemaine XXXX Gold Lager
53,Leffe Brune
54,Löwenbräu Original (4.2%)
55,Asahi Super Dry Black
56,Harbin Beer
57,Beck's
58,Hoegaarden Rosée
59,Schöfferhofer Grapefruit
60,Volfas Engelman Grünberger Hefeweizen
61,Berliner Kindl Jubiläums Pilsener Premium
62,Red Rock
63,Erdinger Weissbier Dunkel
64,Warsteiner Premium Verum
