,맥주이름
15,"5,0 Original"
18,Gaffel
20,DAB
22,Diebels Alt
24,Leikeim
26,Löwenbräu
28,Licher
30,Maisel's Weisse Original
32,Warsteiner
38,Berliner Kindl
40,Bear Beer
44,Bitburger
46,Schineider
48,Schmucker
50,Stephans Bräu
52,Spaten
54,Arcobräu
56,Augustiner Hell
58,einbecker
60,Andechs
62,Erdinger
64,JEVER
68,Zähringer
70,Cannabis Club
72,Kapuziner
74,Köstritzer
76,König Pilsener
78,Krombacher
80,Klosterbrauerei Neuzelle
81,Schwarzer Abt
82,Neuzeller Pilsner
83,Neuzeller Bock
85,Tucher
87,Paderborner
91,Feldschlößchen
93,Potsdamer Rex Pils
95,Pfungstädter
97,Fürstenberg
99,Franziskaner
101,Früh
103,Hofbräu
17,Budweiser Budvar
19,Staropramen
21,Kozel
23,Gambrinus
25,Krušovice
27,Primator
29,Vratislav
31,Celia
33,Hopfen Brau
35,ZUBR
37,Litovel
39,RADEGAST
40,Blanche De Bruxelles
42,Mongozo
44,Willianbräu
46,Eupener
48,Saint Bernardus
50,Abbaye des Rocs
52,Cantillon
54,Kingdom of Belgium
57,Keller Premium Lager
59,Freedom Pils
61,Ligre
17,Double Dutch
19,Desperados
21,Lander Bräu
23,Red Mex
25,Royal Dutch
27,BAVARIA
29,Breda
31,Château Neubourg Pilsner
33,Swinckels
35,Amsterdam
37,Amstel
39,ORANJEBOOM
41,Trio
43,Phoenix Lager
45,Gouden Haven
49,Germanicus
51,Holland Import
53,Hollandia
55,Holbrand
15,Guinness
16,Harp
17,Guinness Blonde American Lager
18,Hop House 13 Lager
20,Kilkenny Irish Cream Ale
22,murphys
24,Smithwick's
26,O'hara's
28,Beamish
30,Eight Degrees
32,White Hag
34,Wicklow wolf
36,Mc Gargles
38,Solas
40,Grafters
15,"Newcastle Brown Ale, "
17,"Fuller's London Pride, "
19,"Tennents, "
21,"Brew Dog, "
23,"Young's Double Chocolate Stout, "
25,"Old Speckled Hen, "
27,"HOBGOBLIN, "
29,"Bass, "
31,"Corvus Stout, "
33,"MEANTIME LONDON, "
35,"Cobra, "
37,"Boddingtons Pub Ale, "
39,"Belhaven, "
41,"Kestrel, "
